"calageBP","realisation_1","realisation_2","realisation_3","realisation_4","realisation_5"
751,-18.5721210733653,-18.864522858676,-19.7951648940183,-18.0002035637659,-19.1314174716153
752,-19.1954626496179,-19.5483190715973,-19.719110836552,-18.3754850379733,-18.8464204694929
753,-19.3950010766165,-19.8306530557119,-19.2544447921864,-18.6496058431764,-18.5372842916081
754,-19.2426445173567,-19.1824164632622,-18.6559930989057,-18.7666643169602,-18.5645727526334
755,-18.8108735735404,-17.9611028056798,-18.0734337625793,-18.6320943919763,-18.610664229389
756,-18.1738194150817,-16.8324940651753,-17.6153270681289,-18.1418032808476,-18.1288336227629
757,-17.462296721773,-16.1829621778405,-17.2449018251119,-17.3573581610851,-17.0491316005283
758,-16.8810061956172,-16.034173544661,-16.7360078417551,-16.5562838850158,-15.9234614909129
759,-16.5864653027851,-16.325320521925,-15.9516821022296,-15.9700378441133,-15.2401785928108
760,-16.4617785251292,-16.6973460464733,-15.279232592463,-15.5184505645911,-14.9458094289096
761,-16.3055160236401,-16.7062740486336,-15.2533481370713,-15.0262967103298,-14.8157248686539
762,-16.0168325534782,-16.2515221577633,-15.7444768112617,-14.474430917311,-14.708273962243
763,-15.6143714945078,-15.6403286098723,-15.8342114919353,-14.0291020210976,-14.5804342921733
